PCE,core PCE,Dates
,,1959_JAN
,,1959_FEB
,,1959_MAR
0.00362701134265353,0.00445132572092133,1959_APR
0.00316226365373207,0.00489911686972211,1959_MAY
0.00539864375534926,0.00669628484965545,1959_JUN
0.00551941651882526,0.0065510597302505,1959_JUL
0.00643593616602089,0.00692796202450441,1959_AUG
0.00615545805775652,0.00658778381835634,1959_SEP
0.00646931974122711,0.00593415007656972,1959_OCT
0.00567699836867863,0.00617952474995231,1959_NOV
0.00423039375203382,0.00508323802262045,1959_DEC
0.00123360602519162,0.00361560418648899,1960_JAN
0.00162211263950152,0.00367228061289104,1960_FEB
0.00103694102397922,0.00221266911113926,1960_MAR
0.00525257765384879,0.00379218809252935,1960_APR
0.00524713351039718,0.00353267726469841,1960_MAY
0.0051145927748284,0.00403709077146286,1960_JUN
0.00328989807766744,0.00396675481677367,1960_JUL
0.00393091893285225,0.00377168720140819,1960_AUG
0.00405797101449279,0.00402085820192255,1960_SEP
0.00340770269401403,0.00282220131702737,1960_OCT
0.00513511778676423,0.00407064128256529,1960_NOV
0.00474724146779582,0.00294099242850887,1960_DEC
0.00378059720620261,0.00262664165103188,1961_JAN
0.00127722076760972,0.000935570386078499,1961_FEB
0.000510790448218668,0.00155977040179689,1961_MAR
-0.000255346313437599,0.00268213572854292,1961_APR
-0.000574016200012739,0.00299102691924236,1961_MAY
0.000446713465220183,0.00417367470254781,1961_JUN
0.00319264414788334,0.00435458786936249,1961_JUL
0.00344607530312691,0.00410039761431413,1961_AUG
0.00414620144160249,0.00459057071960278,1961_SEP
0.00190949016612563,0.00334468875812965,1961_OCT
0.00114474688374466,0.00247494122014613,1961_NOV
0.000254097319273283,0.00135852784982116,1961_DEC
0.0022234927895306,0.00222235940490134,1962_JAN
0.00482784906619238,0.0037032465127762,1962_FEB
0.00590626190778609,0.00518006906758761,1962_MAR
0.00513438133874233,0.00418848167539276,1962_APR
0.00309773675559488,0.00393555528225309,1962_MAY
0.00239914135993446,0.003435582822086,1962_JUN
0.000693699943242754,0.00410967306630683,1962_JUL
0.00151257326526744,0.00281759157172612,1962_AUG
0.005794545569062,0.00293470286133513,1962_SEP
0.0053566927148978,0.00201588271227848,1962_OCT
0.00459379523000436,0.00262643537747365,1962_NOV
-0.000688834617070477,0.000975371860521879,1962_DEC
0.00275810192440296,0.00292629397061517,1963_JAN
0.00313204710598836,0.00335059396893089,1963_FEB
0.00269457325479383,0.00365408038976844,1963_MAR
0.000187535162843089,0.00297854233785166,1963_APR
0.000749344323716761,0.0036429872495447,1963_MAY
0.00374976563964746,0.00473300970873791,1963_JUN
0.0058125,0.00442424242424244,1963_JUL
0.00555347560214647,0.00350877192982457,1963_AUG
0.003175393811095,0.00362362604179234,1963_SEP
0.00310694090598407,0.00494780667350514,1963_OCT
0.003164753335402,0.00494333252953938,1963_NOV
0.00484111221449868,0.0045733541942472,1963_DEC
0.00501765471102034,0.00372260582407669,1964_JAN
0.00501051589756285,0.00473905218956183,1964_FEB
0.00413835701050025,0.00425302503893632,1964_MAR
0.00277366863905315,0.00376861877131085,1964_APR
0.00147719578999195,0.00268672756582489,1964_MAY
0.00227594267084941,0.00244557113033106,1964_JUN
0.00282746327371086,0.00256257449344455,1964_JUL
0.00344170610288241,0.00303679885673436,1964_AUG
0.0035595924880325,0.00273711769606089,1964_SEP
0.00288078455409124,0.00213992748023539,1964_OCT
0.00355239786856121,0.00225586227367169,1964_NOV
0.00348581213307231,0.00326370757180161,1964_DEC
0.00397261948417071,0.00421140043893464,1965_JAN
0.00299054012816602,0.00396848901261615,1965_FEB
0.00280333963069035,0.00313479623824464,1965_MAR
0.00328727095635251,0.00295333727111635,1965_APR
0.00511135450894495,0.00359882005899714,1965_MAY
0.00674567000911575,0.00277122641509431,1965_JUN
0.00588556519628658,0.0025912838633686,1965_JUL
0.00387456108487716,0.00264534712832876,1965_AUG
0.00144875045273452,0.00405715293702591,1965_SEP
0.00102545542284949,0.00270206766917291,1965_OCT
0.00247256060788814,0.0026969981238274,1965_NOV
0.00560578661844491,0.00456781447645804,1965_DEC
0.00650798433263033,0.0052138254247216,1966_JAN
0.00896348432894167,0.00578879663197296,1966_FEB
0.00779236348378576,0.00402238544945788,1966_MAR
0.010058073399988,0.00734308526137895,1966_APR
0.00715478177915574,0.00755770013371304,1966_MAY
0.00719681199072153,0.00952215061255313,1966_JUN
0.00569023768596999,0.00885160543824126,1966_JUL
0.00828794695713952,0.00802031042640361,1966_AUG
0.0089760245659618,0.00787945016391567,1966_SEP
0.00966582188955045,0.00820048170661769,1966_OCT
0.00728041333959606,0.00887235260446495,1966_NOV
0.00620390963361817,0.00884501255421122,1966_DEC
0.00361916992586542,0.00648427279449404,1967_JAN
0.00332245278619747,0.0057872340425531,1967_FEB
0.00174499767333658,0.00424232139826919,1967_MAR
0.00337346594544297,0.00610341904492806,1967_APR
0.00412478940335781,0.0064872792914763,1967_MAY
0.00679363604691652,0.00749126957305402,1967_JUN
0.0085212451452088,0.00814469471437396,1967_JUL
0.00971997222865095,0.00902365205694444,1967_AUG
0.00957379318299778,0.0100631743724493,1967_SEP
0.00896654787906659,0.0103632716737241,1967_OCT
0.00916800366720127,0.010498250291618,1967_NOV
0.00771208226221098,0.00940942049039672,1967_DEC
0.00957046826934049,0.010146685783611,1968_JAN
0.0103338632750398,0.011268689533861,1968_FEB
0.0120181405895692,0.0127762241596754,1968_MAR
0.0104954294097732,0.0120100447647122,1968_APR
0.0101157693604585,0.0114692612926022,1968_MAY
0.0100829038763164,0.0114239306984301,1968_JUN
0.0099955327228054,0.0110583665983384,1968_JUL
0.0104039167686658,0.0111779879621667,1968_AUG
0.0106477373558118,0.0112948985600341,1968_SEP
0.01199756731354,0.0120578349250389,1968_OCT
0.0112879246737514,0.0119579081632655,1968_NOV
0.00987708516242325,0.0109040863857717,1968_DEC
0.00939685314685312,0.0105962359639411,1969_JAN
0.00854840466078621,0.0102410587679218,1969_FEB
0.011193218865464,0.0119384228715049,1969_MAR
0.0116908421736308,0.0119979134063639,1969_APR
0.0131728121794525,0.0125805780827615,1969_MAY
0.0133261687264912,0.0113318845079169,1969_JUN
0.0133212069334474,0.0121649484536084,1969_JUL
0.0120424148771781,0.0109354143135845,1969_AUG
0.0113479690317106,0.0115118956254796,1969_SEP
0.0103479224961724,0.0111529843145244,1969_OCT
0.0119517717053652,0.0121883093799198,1969_NOV
0.0123741610738255,0.0118866970156803,1969_DEC
0.0125411506505722,0.0108788718207,1970_JAN
0.012174817898023,0.0108875620892077,1970_FEB
0.0100476486430494,0.0108972756810797,1970_MAR
0.0115600970222429,0.0115589656718649,1970_APR
0.0107432918679964,0.0112666269604924,1970_MAY
0.0108706799302636,0.0111259457053849,1970_JUN
0.00943829396459384,0.0109835984829827,1970_JUL
0.0088999644001424,0.0108957055214725,1970_AUG
0.0108045044131075,0.0114925665101722,1970_SEP
0.0121297887395126,0.0126181428432233,1970_OCT
0.013459018046174,0.0143224741467203,1970_NOV
0.0133989060069253,0.015181550065271,1970_DEC
0.0105363028063516,0.0141929275920134,1971_JAN
0.00950012434717729,0.0128278766992151,1971_FEB
0.00836882242250181,0.0110015716530933,1971_MAR
0.0101793744132037,0.0107685009487666,1971_APR
0.0114308238076468,0.0113421550094517,1971_MAY
0.0125718214408486,0.0121066515922366,1971_JUN
0.0116421268893998,0.012202562538133,1971_JUL
0.010376071706937,0.00920560747663557,1971_AUG
0.00742034046268003,0.00688852687921804,1971_SEP
0.00594748803249345,0.00463671349747297,1971_OCT
0.0051106504025844,0.00551002454044536,1971_NOV
0.00755825149239353,0.00698007673461842,1971_DEC
0.0101422803307056,0.00969215858217543,1972_JAN
0.0120401016932892,0.0101307791490144,1972_FEB
0.00950833771322102,0.00895152405435184,1972_MAR
0.00689983345229606,0.00699364629519605,1972_APR
0.00516636648023527,0.00661013858497439,1972_MAY
0.00525369178341539,0.00668820237499435,1972_JUN
0.00732514177693777,0.00721743077621428,1972_JUL
0.00801622105908417,0.00701960961912973,1972_AUG
0.0110174678657187,0.00831600831600809,1972_SEP
0.00853858784893258,0.00603902834737924,1972_OCT
0.00860738176544884,0.00656592912394327,1972_NOV
0.00731150747450293,0.00623038995965941,1972_DEC
0.00921058752384063,0.00627155848228278,1973_JAN
0.0115022494318446,0.00679117147707964,1973_FEB
0.0154415164123902,0.00783999287273374,1973_MAR
0.0199124222171005,0.0130436718158751,1973_APR
0.0195790728598284,0.0137569894381824,1973_MAY
0.0181660899653979,0.0140552486187846,1973_JUN
0.014326388575044,0.0125241694498155,1973_JUL
0.0210019787731606,0.0133076518998423,1973_AUG
0.0192281894200241,0.0140347818506734,1973_SEP
0.021297451434682,0.0136278807343431,1973_OCT
0.0179271461921331,0.0138240884741663,1973_NOV
0.0222436713025929,0.0143133462282399,1973_DEC
0.0262193525870342,0.0153714408049668,1974_JAN
0.0297273907399396,0.0169166524629283,1974_FEB
0.033175965665236,0.0191965420798372,1974_MAR
0.0306083407728606,0.0218014674875602,1974_APR
0.0287851409841575,0.025099518122774,1974_MAY
0.0256303742782371,0.0276079996673735,1974_JUN
0.0259456337911974,0.0290124221039165,1974_JUL
0.0265501184543748,0.0290222367560498,1974_AUG
0.028473066018631,0.0277159619664171,1974_SEP
0.0282647153425539,0.0266704098820887,1974_OCT
0.0252665923921693,0.0243107968538969,1974_NOV
0.0227621785531444,0.0223622047244094,1974_DEC
0.02177908113392,0.0203132934880268,1975_JAN
0.0196763301897778,0.0200884200729077,1975_FEB
0.0150937584228563,0.0182147258163894,1975_MAR
0.0122455227307516,0.0172671235499062,1975_APR
0.0108091649539468,0.0144084549878345,1975_MAY
0.013693433979441,0.0140690594153019,1975_JUN
0.0189399667321941,0.0153556642830259,1975_JUL
0.01927856013254,0.0145410935801822,1975_AUG
0.0179613830264931,0.0151046134337822,1975_SEP
0.0151745631284086,0.013937282229965,1975_OCT
0.0172885112670853,0.0171401130360902,1975_NOV
0.0178650198500221,0.0177823499154972,1975_DEC
0.0158248666033185,0.0179132850771369,1976_JAN
0.0106398431258625,0.0152533139640456,1976_FEB
0.00660888407367288,0.0124539744422785,1976_MAR
0.00507285483000541,0.0112412009768712,1976_APR
0.00855161510545788,0.0119835449830084,1976_MAY
0.0114447673375668,0.0127642885157058,1976_JUN
0.01428264604811,0.0143481194729551,1976_JUL
0.0150343795646444,0.0154118062919759,1976_AUG
0.0162812145289444,0.0172152790001758,1976_SEP
0.0164460914063878,0.0166310703406745,1976_OCT
0.0154785721806887,0.0153867576411613,1976_NOV
0.015461938501274,0.0149512009413719,1976_DEC
0.0160411096836917,0.016152362584378,1977_JAN
0.0193557306788332,0.0177591881513988,1977_FEB
0.0187667560321716,0.0165723248994067,1977_MAR
0.0187608925947442,0.0153872225046603,1977_APR
0.0159704326597043,0.0143501987468839,1977_MAY
0.016565452091768,0.016100898966859,1977_JUN
0.0159331812692876,0.0173570546413431,1977_JUL
0.0155191402730033,0.0171692348565358,1977_AUG
0.0136736251700906,0.0153835996302654,1977_SEP
0.0131409515633769,0.0140424554611371,1977_OCT
0.0142303141843039,0.0143001730386234,1977_NOV
0.0153226598565956,0.0152480655439236,1977_DEC
0.0165879094019878,0.0164040508622643,1978_JAN
0.0154888046401607,0.0150642160491841,1978_FEB
0.0171229563703204,0.0153392897172318,1978_MAR
0.0188177213566711,0.0158209715413511,1978_APR
0.0213472031653852,0.0178848898049784,1978_MAY
0.0214000380445121,0.0180407493849744,1978_JUN
0.019256788647305,0.0174547961517972,1978_JUL
0.0171519620094975,0.0169164148415841,1978_AUG
0.0162957444827265,0.0171014313154469,1978_SEP
0.0188312289692216,0.0185721325612909,1978_OCT
0.0194428233559603,0.0185956742846638,1978_NOV
0.0184167124793844,0.0166920499543102,1978_DEC
0.0179983637851104,0.0144537510205316,1979_JAN
0.0176559204579694,0.0123311979307648,1979_FEB
0.0208427050532314,0.014200970699263,1979_MAR
0.0237521207250648,0.0183612030164833,1979_APR
0.0288666508763618,0.0238569179119998,1979_MAY
0.0293184488836662,0.0237209027531609,1979_JUN
0.0264573339148131,0.0194350943948485,1979_JUL
0.0237115478691263,0.0173524461725958,1979_AUG
0.0242879159769396,0.0185831770307314,1979_SEP
0.0248406741254781,0.0209021217950558,1979_OCT
0.0241180604356992,0.0206503137478606,1979_NOV
0.0236841372008134,0.0210204255078046,1979_DEC
0.0260350450500249,0.021317883960964,1980_JAN
0.0300002744764363,0.0249552872792309,1980_FEB
0.0339693513704784,0.02708026969285,1980_MAR
0.0285798944079301,0.024562852815641,1980_APR
0.0254756702019932,0.0226299860948278,1980_MAY
0.0194276989496407,0.019963800416025,1980_JUN
0.0220243551132644,0.0218776036767274,1980_JUL
0.0225819863832442,0.0210360732663237,1980_AUG
0.0255648805681086,0.0238637567538933,1980_SEP
0.0258033106134372,0.0250913968596302,1980_OCT
0.025615613326218,0.0257468142886985,1980_NOV
0.0228125393428176,0.022272809581706,1980_DEC
0.0244298453775635,0.0227325208466964,1981_JAN
0.0264377214499865,0.0221475484954943,1981_FEB
0.0269318825238178,0.0216863201579027,1981_MAR
0.0216039599131939,0.0193673013722688,1981_APR
0.0159078839376237,0.0189529786810121,1981_MAY
0.0128970394342562,0.0183777089783281,1981_JUN
0.014583383058453,0.0180149139861689,1981_JUL
0.0163716288463822,0.0178182973626966,1981_AUG
0.0184602276761414,0.0194080307415425,1981_SEP
0.0169379881434082,0.0193400217575244,1981_OCT
0.0160377799597886,0.018466932423995,1981_NOV
0.0130365068668232,0.0155791482762733,1981_DEC
0.0144582215230868,0.0157476580101981,1982_JAN
0.012080073630925,0.013746433708236,1982_FEB
0.0115612240216543,0.0144239804548019,1982_MAR
0.00608852302008978,0.01223470078685,1982_APR
0.00902580425144928,0.0138391403451643,1982_MAY
0.0137421198240284,0.0144967810661849,1982_JUN
0.019242973708069,0.0170461098424561,1982_JUL
0.0163579829660674,0.0161967468856823,1982_AUG
0.0118333929849677,0.014860299488678,1982_SEP
0.0115190464542241,0.0147192234418942,1982_OCT
0.011439212556531,0.0137938819279828,1982_NOV
0.0101695664669599,0.0132706538608605,1982_DEC
0.00921142304394662,0.0137681321383072,1983_JAN
0.00789058390320885,0.0137843495301295,1983_FEB
0.00765981660210535,0.0118537592399388,1983_MAR
0.00755892475929065,0.00802522212668388,1983_APR
0.00869867780097433,0.00575507962657884,1983_MAY
0.0111634776187477,0.00917008533883235,1983_JUN
0.0122586643028559,0.0129043546729075,1983_JUL
0.0137116246981719,0.0166641186362941,1983_AUG
0.013488841634985,0.0160213908393296,1983_SEP
0.0095044852627082,0.0110125024292285,1983_OCT
0.00663547426626954,0.00816326530612255,1983_NOV
0.00366641941294898,0.00485686165432853,1983_DEC
0.00632603406326027,0.00640738130326146,1984_JAN
0.0116623003464886,0.0103984658001279,1984_FEB
0.0144220617424722,0.0134781220057489,1984_MAR
0.0138760407030527,0.0148765942997815,1984_APR
0.0083744048116281,0.0108608545278164,1984_MAY
0.00686913261589073,0.00941216017479718,1984_JUN
0.00663570006635705,0.00901258834845886,1984_JUL
0.00844982913948433,0.00999311539023218,1984_AUG
0.00802133509747582,0.00915789035507641,1984_SEP
0.00679795649307846,0.0070876422191366,1984_OCT
0.00513420820241106,0.00590762620837815,1984_NOV
0.00660390902192431,0.00835292661799292,1984_DEC
0.00924827106436954,0.0117296018108859,1985_JAN
0.0125043417853421,0.0148260708858681,1985_FEB
0.013610154642326,0.0143584708842119,1985_MAR
0.0100352755139277,0.00990542052272958,1985_APR
0.00774896579558071,0.00815459328207191,1985_MAY
0.00655289553558869,0.00796483374669799,1985_JUN
0.00756709018285462,0.00970756464996381,1985_JUL
0.00851038266685356,0.0111795756979709,1985_AUG
0.00746879680479262,0.00992238137152923,1985_SEP
0.00667357265229684,0.00859696014680655,1985_OCT
0.00627432292907648,0.00613338626439064,1985_NOV
0.00794862138000751,0.00679423183582917,1985_DEC
0.0109037658559754,0.0106002175417779,1986_JAN
0.00797158642462525,0.010732111503482,1986_FEB
0.00239921337266469,0.0110571153127277,1986_MAR
-0.00422832980972521,0.00745582278233292,1986_APR
-0.00240779891942688,0.00657779165772077,1986_MAY
0.00351173193125631,0.00653836424137455,1986_JUN
0.0058189824644177,0.0065459772347618,1986_JUL
0.00523930064166711,0.00688384719798329,1986_AUG
0.00478974018103262,0.00717254712421456,1986_SEP
0.00633257759362049,0.00876126517300602,1986_OCT
0.00687124228937286,0.00883967260471841,1986_NOV
0.00496147560121418,0.00683353808353804,1986_DEC
0.00788533250466128,0.00583475216651053,1987_JAN
0.00961613028305552,0.00574602932193047,1987_FEB
0.0109000793789082,0.00741630443071761,1987_MAR
0.00992407600107903,0.00926242915287756,1987_APR
0.00894845994315996,0.010040808579292,1987_MAY
0.0100930784846975,0.0098219185859465,1987_JUN
0.00866263428037173,0.00815980401394523,1987_JUL
0.0100871683605497,0.00873830195061465,1987_AUG
0.00966989628562209,0.00997001499250372,1987_SEP
0.0105366702608631,0.0116639874387827,1987_OCT
0.00846020500452216,0.0103578680675869,1987_NOV
0.00692944733432244,0.0084799228085799,1987_DEC
0.00763758891800825,0.00894275895199748,1988_JAN
0.00723080659927877,0.00890568820872129,1988_FEB
0.00882133532264096,0.0110949603488566,1988_MAR
0.00980902132719019,0.011225872614731,1988_APR
0.0112413741930697,0.0125918344968747,1988_MAY
0.012071802266467,0.0125382151696025,1988_JUN
0.0120685848848332,0.0117532008909977,1988_JUL
0.0121253256044318,0.0108289566300288,1988_AUG
0.012749789938991,0.0119695907693966,1988_SEP
0.011143023340362,0.0116882651965347,1988_OCT
0.0104938830992298,0.0119449354544969,1988_NOV
0.00872952889401901,0.00989219812811903,1988_DEC
0.0106067415730338,0.0111639921445126,1989_JAN
0.0116224844854182,0.0109570188439549,1989_FEB
0.0122300100128738,0.0106218345526168,1989_MAR
0.0137685671084229,0.00890607502799545,1989_APR
0.0140952448494736,0.00935476552000969,1989_MAY
0.0125415106337878,0.00903111296721648,1989_JUN
0.00824720560108094,0.00823780371481586,1989_JUL
0.00470304386593701,0.00663980772223471,1989_AUG
0.00474512403614669,0.00744994567747925,1989_SEP
0.00626533702292065,0.00851451768267508,1989_OCT
0.00833536351929842,0.00979095453218126,1989_NOV
0.00901135534951547,0.00915797942450247,1989_DEC
0.0126947889102198,0.00938070304105332,1990_JAN
0.0149452066614892,0.0115841937843402,1990_FEB
0.0158312253712596,0.0135699019574582,1990_MAR
0.0103154407118338,0.0126898835774996,1990_APR
0.00814473482851841,0.0108798009013251,1990_MAY
0.00879169278200331,0.00995749238544708,1990_JUN
0.00916206028027111,0.00949409330574635,1990_JUL
0.0135941980097825,0.0106129917657822,1990_AUG
0.015331139172488,0.0102072942385127,1990_SEP
0.0186267776679676,0.0110907257731276,1990_OCT
0.0131789137380192,0.00811482560531984,1990_NOV
0.00793847680476301,0.0060034445993602,1990_DEC
0.00601864794198415,0.00760151703393719,1991_JAN
0.00525555117592957,0.00915978186330535,1991_FEB
0.00452867339404373,0.00986450571489117,1991_MAR
0.00253363192049294,0.00686276100394245,1991_APR
0.00617566331198538,0.00808969857783093,1991_MAY
0.00766076999722309,0.00816972358563683,1991_JUN
0.00741863953564215,0.00921688688366085,1991_JUL
0.00560192251485736,0.00797663183911923,1991_AUG
0.00735937753282534,0.0098171102783382,1991_SEP
0.0076553320277728,0.00897304892067963,1991_OCT
0.00752450307600405,0.00808865677345394,1991_NOV
0.00658148815653958,0.00654983744350179,1991_DEC
0.00607131384516535,0.00707345634079171,1992_JAN
0.00641056461047795,0.0079289866060146,1992_FEB
0.00633063162438252,0.00795676561416769,1992_MAR
