424866,426862,421031,424822,433749,415800,412101,421886,434124,439732,422432,413594,409444,402058,396446,390158,389030,383284,352659,381518,367849,330985,317015,324488,339509,327331,329299,320362,338713,344628,362748,430874,323919,333650,338699,340872,323016,318679,361388,353460,354672,354512,360011,364193,362715,381873,375679,379324,378069,372767,377369,366914,359093,348756,355470,351159,370436,376045,373713,380502,385746,396327,385387,394678,385863,385150,385356,389553,401047,396369,412584,407612,415704,417858,410487,415742,418452,415758,418381,413035,412247,411491,419577,414093,406364,420924,445016,435902,442946,451354,447243,450629,448932,450901,459953,462662,462779,467689,484033,487168,485898,483277,486451,489826,483418,476708,490222,477858,481755,495654,477464,485175,481018,491948,504230,502371,506841,515224,504033,531554,518275,518178,504613,506960,512078,523467,531961,519087,549068,555524,553999,559751,542601,545954,545585,539614,555678,547592,554387,555340,551261,544847,558725,557330,517505,520485,545506,532273,544243,541918,543231,542636,551524,532145,555750,557491,524828,529375,410842,363585,528101,560645,585080,582178,583137,571880,571363,589997,606036,594154,717105,719574,660193,611789,580257,559916,557113,577407,575819,568249,593833,566940,574872,588725,562258,566895,560102,567285,565943,575058,561775,549122,603990,601687,598395,600429,589944,582135,582527,578902,584755,574235,569961,576972
233282,230108,231825,230411,231614,228983,230900,231575,231132,230481,231713,230142,228258,223555,222440,224747,224591,222907,220480,215958,208461,206315,203530,201579,201325,199027,193419,193684,194806,193899,194426,196839,196162,196425,197313,197950,199261,201771,206218,208153,206739,206952,207049,208268,208856,208871,212732,212906,211182,212602,216900,216134,213999,214528,214904,214682,217160,217268,218966,220220,221960,222010,223115,219616,221073,219834,220094,220497,222270,220030,223762,228062,228520,228253,230114,230556,231673,233748,236223,237580,238836,238735,240928,239569,236797,242404,246704,251785,253427,255060,254944,259881,259484,259984,263560,265518,267241,264505,270873,270570,275200,274107,278827,281082,281879,281855,285270,290273,288536,292506,292156,291359,293139,299151,298961,300605,302346,301083,303588,305573,306766,307777,309353,311891,311377,314662,318221,320720,325535,327301,335668,340944,339451,341004,340048,336271,338851,340333,340600,340489,339551,338528,341790,334095,336914,333250,337709,342145,345482,346042,350521,352547,353260,354898,356938,361053,363470,361594,336276,286542,355495,397579,403002,401836,405712,405259,398507,404818,432651,411399,449585,447361,427194,428111,418700,419587,417673,423736,421568,411624,414257,412054,412021,413190,413120,410667,409135,411249,409247,415451,409362,406283,425823,416038,406949,411111,414791,418323,420739,419014,421229,418517,426879,428166
192121,188570,192203,193529,197258,197638,201208,204987,204513,206585,208723,207810,204376,203756,204289,207260,211962,208889,209059,207024,200397,195463,193657,191041,198037,195959,189948,189532,190614,192329,194175,196663,199355,197460,201568,203139,202990,204704,205599,207721,208124,212114,211555,212186,214883,216297,217005,219331,222711,223465,225046,227032,228223,230430,231726,234342,232719,240291,237028,236267,239851,242619,247604,245000,246499,248141,250165,252513,253049,253427,257274,261846,267601,268267,266889,267364,269962,271580,272307,276407,275825,277083,279652,277396,276161,286073,287189,287288,291336,292169,294942,295798,301646,301476,301949,304674,306030,303447,306647,306811,307107,308976,311395,314613,316025,318480,316831,325752,325739,330413,333488,330109,338435,345613,345024,345636,346931,349517,350035,355929,355170,362537,366732,375410,371273,373132,371679,376212,380857,378781,392781,403660,409375,419240,414408,416191,419335,418735,417520,423984,421969,423724,437835,406572,431175,435022,438942,446295,460790,466575,472884,475768,477311,476726,481413,483674,490531,488633,469762,452431,545406,591857,590833,594228,602643,613993,612179,614947,630976,601168,674917,670052,648039,668826,634622,649440,654216,668642,674517,669599,682558,669623,674509,679127,663956,660542,672129,674011,670496,676606,659659,672763,701666,694615,686884,702365,710958,716962,734733,735052,740430,740286,749296,771487
147028,146981,150214,151547,152711,152663,153929,154555,155962,154589,156124,153924,153452,149382,150591,149044,149941,149641,149865,148827,143664,142527,141190,137547,141436,141629,137495,139789,141281,142115,141348,144028,143704,142257,143528,144731,146159,147369,147882,148163,146777,146957,150047,149245,149621,153409,152690,150325,152756,152724,154340,155842,153970,154668,155386,157086,157888,155408,154803,155450,157497,159782,158115,158360,160153,160174,163283,161800,163355,160782,163492,169130,166840,166317,165357,164835,164367,163605,164041,164462,165772,169722,168607,171050,170181,172749,173282,176163,175984,177200,177795,179841,179307,182002,183651,182777,184351,185806,185691,187293,187892,189978,189776,191208,188166,188361,191610,193098,188467,190243,190133,187897,186902,188232,188445,189090,189123,187809,187936,190361,189544,186931,189327,188285,188550,190405,193879,194013,193559,192881,196358,195793,196972,199262,197684,200249,201721,202973,201291,202532,201065,204828,208466,200859,205870,206634,211134,209567,210063,207542,213279,214992,216192,213457,213518,216054,220440,218350,176372,126151,164408,208183,226823,232978,238064,240220,242506,247518,249529,246273,270940,267867,266976,276302,270365,269865,273579,281886,286472,273735,270920,280294,284506,288291,278175,282469,283412,284079,280403,281864,276797,271307,284747,280290,276022,278132,280526,280090,281015,283182,284274,285089,289940,292503
874589,871316,869393,866200,867481,868297,871979,865182,866981,866990,871375,876486,869840,864066,866712,865160,866047,862751,856124,852478,842633,839479,839807,835741,845414,838686,840093,844344,849524,846385,849507,849591,856498,856929,853430,860645,856170,871116,860998,861274,858818,856378,856218,860750,863088,862019,869823,867223,868989,868348,862398,869241,859875,865377,863816,862557,858116,861130,863116,856767,863616,865497,868801,870662,871856,870328,872826,870195,872984,875778,873518,872686,875257,883559,879756,874918,883805,882528,887834,888623,893092,893003,897563,904423,905533,905582,903219,904721,903894,910968,910848,912416,912571,917453,917453,918663,922381,923960,928757,927729,929200,930742,933873,932310,936508,928446,938262,944385,944151,951223,948630,958249,965749,973095,970610,974227,976407,983557,984438,989675,994155,995454,999251,1002525,1000855,1009294,1007371,1012997,1021371,1020271,1024550,1037234,1036622,1038237,1038910,1032760,1043369,1033348,1037353,1035843,1038136,1043830,1052519,1037148,1054269,1038043,1051226,1059804,1061838,1070630,1082482,1082837,1073867,1073688,1075522,1078986,1072531,1074160,1277992,1121415,1151166,1139435,1157421,1140652,1145907,1139751,1148355,1146754,1182524,1167181,1197225,1205346,1195383,1198551,1184437,1208496,1198344,1200877,1197416,1197244,1202539,1186347,1179186,1176988,1172947,1171874,1158413,1159429,1161036,1161483,1156780,1150006,1153140,1156724,1141334,1147997,1149522,1146653,1153055,1151781,1153899,1154441,1157540,1159507
336707,330058,338624,331177,336870,336694,338108,337817,336738,335840,338280,334629,334226,333183,333766,338734,341382,342994,340205,335692,322691,320649,323533,320505,324824,320955,308031,311675,315087,310049,314198,316976,314385,318592,316514,315586,322166,322110,328258,330467,328130,328209,327470,332609,332069,335281,342755,339404,339959,342565,344232,345482,342463,345360,340627,335365,342708,340581,340826,341540,341440,348305,345862,337906,337981,341051,341870,345669,344791,340145,341706,342229,348384,343540,346760,347642,348575,348303,349372,346801,347467,353432,348228,348003,345274,352700,354973,362976,357635,359086,361149,365472,362057,366203,371402,372081,369736,373527,374211,373469,379522,376217,378881,378389,381321,380077,381032,381715,385761,392226,386458,385224,385838,392779,390093,393211,394711,390546,386613,393948,398611,394886,395879,399220,397434,401532,398668,402644,402929,398794,408600,413816,414783,415655,399981,404445,412023,402599,410107,412534,405510,408089,417561,402699,410191,411486,417996,418409,420356,420074,423707,421347,414387,422231,421314,427452,424848,422570,310375,227289,324289,416473,415296,412295,447035,441473,427767,437428,457376,434456,507547,503178,500240,514147,494216,496175,500907,500555,501457,485364,482903,481218,491018,494612,492989,489690,483860,489788,494947,495497,487972,485021,502227,495998,487323,487615,488442,486791,493501,493095,494943,493351,497285,504958
316329,320713,313266,317654,310837,310075,316679,308991,315933,311508,310823,316642,308917,299442,313835,306438,302481,298968,294464,297941,289877,305300,304689,298434,301725,309011,304998,304022,303553,302858,302972,303933,300412,304562,301690,302560,301500,297456,297152,302190,301183,303848,303326,302555,306704,303123,300524,304485,299422,298041,299117,294611,291010,295925,294870,292828,295652,293192,292147,293670,290446,294179,288623,290102,295707,293926,287841,298967,287468,291601,289695,283691,297990,291167,295444,298161,299669,297446,299380,297899,300617,300513,306808,300402,299893,302950,298242,302044,299225,296131,301955,303802,296765,306453,307866,308227,314841,319780,316007,316721,318072,316401,319350,321059,322394,321896,318858,320308,322365,324159,327949,323880,325279,323083,324655,323443,326450,316603,321359,326316,313321,324263,325411,324189,326777,327035,325705,324918,324476,323086,319759,328854,325284,314320,329311,321791,323526,326929,324652,324684,319466,319295,321737,325550,325605,329245,324900,326102,320775,323450,317951,324488,318188,318368,319229,313007,314642,310956,270733,208226,249337,274934,282941,283383,296582,286767,278276,277062,287139,284956,297437,304336,309018,322407,324534,316275,320474,321778,324067,322675,311628,322688,320922,314096,316672,310584,307511,311974,314803,311662,312033,311954,313232,319659,319440,321318,315688,318754,314825,317410,314124,318980,314490,319494
901574,899817,908225,903545,906636,911797,912056,911392,907292,905389,911841,903496,905523,900821,899282,904844,910261,906289,911149,907079,898849,896337,894641,889571,891402,894848,886395,883589,879082,874116,877420,878268,882276,880917,877146,880412,881742,882812,887433,891332,887375,896609,892686,895163,899167,900742,903153,898605,913827,907000,912029,910421,908687,917951,910772,913516,908630,912952,911569,912167,922732,926886,922162,924319,921653,911610,919434,913816,916973,913087,922659,931527,944818,943427,935496,929029,939510,937456,944320,940274,950343,951165,953612,960552,950258,960172,966874,972768,977186,981513,982962,992170,991519,994442,998044,1003890,1004545,1001188,1008237,1007941,1012546,1016043,1025031,1029094,1029587,1029731,1035091,1038313,1033891,1039452,1036981,1039553,1042668,1047336,1041914,1039484,1033222,1034150,1034753,1039055,1044405,1043225,1049610,1055222,1053762,1059740,1056746,1058183,1069210,1068743,1081369,1089295,1087210,1088583,1088332,1092934,1097679,1091416,1097060,1099532,1107005,1113596,1130425,1100876,1122619,1129802,1134339,1131293,1143270,1154077,1154492,1157831,1163697,1162130,1165077,1164082,1171995,1182093,1233928,1154272,1224368,1250914,1264127,1267203,1281502,1285154,1284124,1294692,1290256,1260962,1334452,1331674,1311747,1337409,1316215,1338921,1336862,1347549,1351387,1345231,1359725,1342332,1346308,1356123,1354714,1354994,1350935,1352585,1360780,1359584,1357850,1358659,1378644,1380644,1363276,1379008,1378313,1380382,1393061,1394322,1410167,1412361,1417780,1427480
2171975,2188784,2166548,2198119,2174225,2184931,2186706,2212756,2207773,2197584,2220653,2216934,2231146,2252617,2251448,2252395,2256043,2261479,2255139,2244024,2256368,2264761,2273878,2269081,2267999,2247929,2267144,2256669,2251967,2253340,2247204,2261932,2265199,2279051,2257423,2300690,2295675,2302732,2289575,2287408,2313451,2321601,2325314,2326431,2318323,2318751,2330722,2348202,2331680,2311998,2322744,2316043,2324166,2323541,2339817,2329299,2323175,2330768,2318596,2314155,2298497,2308579,2294360,2319459,2323365,2321419,2343219,2323452,2323341,2326625,2325708,2317205,2327989,2342543,2368842,2349422,2341229,2338625,2328548,2332482,2339734,2342980,2349737,2356522,2372572,2353591,2356330,2347636,2340873,2329685,2317062,2326645,2333899,2336069,2349567,2333892,2342013,2364667,2346736,2332255,2331199,2335340,2330618,2336848,2337169,2336054,2326099,2321470,2338091,2340514,2328336,2342513,2347372,2354395,2356299,2361288,2351479,2344737,2337871,2360936,2329533,2322280,2344776,2349014,2353864,2352148,2350280,2344996,2353710,2358465,2360001,2382982,2381145,2355835,2381578,2394315,2372190,2381279,2380951,2386143,2389598,2398927,2406171,2392312,2394594,2399093,2406388,2398427,2401083,2398308,2413340,2415411,2424758,2426266,2435157,2421046,2412793,2433249,2434503,2456181,2458895,2462414,2472577,2469179,2472922,2478647,2472954,2502843,2497061,2518961,2507831,2506344,2517987,2528603,2522185,2542129,2542188,2538128,2548662,2549193,2583597,2580530,2581068,2602201,2600881,2596595,2598894,2597849,2595693,2603319,2612775,2624776,2587013,2599136,2619434,2608081,2606573,2600884,2619873,2617507,2617969,2619029,2617502,2614725
1734822,1735446,1739892,1742183,1745710,1749833,1755998,1763325,1768316,1767144,1769547,1775515,1784732,1789373,1792820,1792296,1794328,1795336,1797197,1799309,1803527,1802080,1804225,1808506,1812465,1818375,1822879,1832049,1837881,1844102,1849293,1847816,1850812,1843658,1840647,1837024,1836583,1836993,1840852,1845777,1854172,1863352,1876179,1883058,1884736,1882604,1883029,1886994,1889941,1891121,1891457,1892565,1893825,1890065,1886753,1883969,1887060,1895511,1904061,1910969,1924409,1931158,1933858,1927217,1922120,1921664,1921349,1923557,1926783,1932758,1935182,1931264,1925034,1922620,1925585,1939785,1942017,1942861,1941627,1947353,1954349,1965605,1972452,1968180,1955048,1950687,1956778,1975498,1990900,2003841,2016876,2025809,2035706,2052119,2061972,2072727,2082083,2087012,2090803,2092065,2101434,2114010,2129060,2135294,2135435,2132539,2131101,2139005,2155848,2173339,2186916,2201657,2204140,2202133,2189783,2189764,2197061,2208455,2219158,2227898,2236063,2238438,2234273,2226292,2224608,2230443,2243674,2255237,2261342,2259301,2264775,2269225,2277825,2283852,2289097,2286528,2292805,2303886,2318822,2326298,2321058,2307519,2302221,2311776,2335477,2353723,2368903,2371741,2373378,2375013,2381650,2392701,2402886,2410772,2420107,2427102,2440400,2443591,2096836,1656981,1978380,2185591,2226103,2241032,2292319,2322396,2346557,2342261,2327655,2315966,2345610,2382042,2403367,2420519,2429727,2444581,2456701,2465936,2473354,2486024,2475486,2475755,2482869,2481641,2482846,2494171,2508754,2524794,2531199,2550401,2568712,2584974,2610140,2632075,2646614,2645242,2647449,2652122,2658710,2666642,2682261,2708032,2721194,2733605
375108,375378,376569,373774,376868,373926,372600,373885,375681,376062,373723,368957,376395,368432,365276,365833,365742,364724,362692,361158,353871,349596,343684,346842,342155,338771,334247,333892,332585,332282,334592,332521,332239,333416,333287,336193,337201,333185,335476,333454,331814,332026,332257,334428,338200,341158,339946,339940,339419,340264,343278,347111,350873,352390,355179,353469,357015,355263,355973,353814,350501,349104,352745,356919,359901,360184,358799,358835,358167,357248,359253,361238,364061,365017,365350,370930,372310,375042,375646,378638,377295,375613,372292,385082,383190,389287,389215,387105,388778,392381,393844,395855,394222,395459,390655,397705,395227,395572,399395,400218,402031,401227,402419,401319,402305,404873,405611,409160,411394,413858,410539,411781,413170,412578,413429,413227,426136,422807,423465,420061,419423,416973,423787,422987,423079,424753,431391,434228,436317,437067,437828,445025,451671,450912,449735,449833,448560,447069,445577,445392,443307,445447,443012,444817,446620,451866,457079,459442,461666,467789,470690,475574,477775,478999,482670,473049,479604,477375,356011,269077,295058,321088,333040,341072,345106,352604,349192,355211,359642,352733,379460,400493,419788,437214,459732,472591,482373,485601,479825,481616,472953,481358,483367,475231,481647,478541,470894,478534,483568,482750,470192,476435,477907,479823,475128,479259,483391,478373,477034,477713,486147,486425,482833,489131
451699,451517,456523,452763,457161,455775,460784,460859,460306,462683,459023,465402,462251,460955,460264,462379,464031,465338,464131,459386,455553,455913,455872,454763,459198,456017,450168,452802,450421,450331,452333,454033,455902,454523,457028,456747,456746,460296,464030,467588,466598,466790,471487,471590,471633,473087,471534,465086,462227,463466,465221,465520,465845,468948,469833,467335,468331,463667,463245,460703,466612,470000,470338,472437,476031,479987,480673,474722,479391,482758,484371,486051,485234,487658,484916,482848,485810,484529,489309,493426,488781,488707,494483,495521,495050,500813,501852,495997,497272,497234,499133,512198,505284,512267,511495,515279,520891,518128,515788,522647,525718,522561,521252,522426,528180,532340,537306,542881,541011,543833,535116,537037,536423,536708,545196,542615,546558,549686,551017,552865,557815,555664,562155,558750,557710,558105,559164,553067,547632,547109,551066,554415,558049,565756,563409,564687,562357,563835,563688,567400,566568,563415,561480,565129,562078,564615,571082,568279,571021,576145,573405,578292,577191,578711,579574,576962,579089,571737,448625,319964,337212,421528,425128,432464,446692,447190,439160,433974,461833,460385,486692,502853,513902,522927,544465,544092,558291,565938,573943,577317,563230,575150,584374,585412,587499,586934,585669,590084,591566,593586,596114,600919,609688,606696,600937,608339,599594,608654,611008,612418,606643,606895,611268,615195
768269,760271,770520,766890,769388,771037,767741,771322,770226,775489,774314,783828,772940,761271,766265,769980,772486,771069,766938,767670,761967,759446,755629,753011,749233,745987,735849,739274,738845,736821,739898,739245,734239,733337,737702,739536,738046,749225,751259,755290,754793,756067,758464,762384,761332,763938,766194,760310,760322,773608,775419,771443,777640,777685,776250,778709,784536,784822,784107,777675,787974,787939,790071,795425,791163,792550,795652,795239,798904,797121,803973,808178,814563,809739,810624,802475,802712,801648,804004,805534,807181,815966,821597,819128,813695,820096,826016,828019,830212,833957,836337,841665,843941,851875,848373,860927,862007,859397,864552,870439,874610,875141,874032,876760,874878,878694,875541,889071,876298,890677,887395,889279,885120,883230,885570,888594,895856,890401,903712,888879,912161,908282,911807,908594,907559,907924,911223,911754,916865,914043,922789,925782,924788,926295,932642,922130,932950,946726,953070,953682,940220,947962,946835,940238,938794,937915,943392,943854,948413,955094,958876,961894,964665,971477,973691,983883,987940,978097,712815,470562,596727,730161,760807,805981,819669,817289,784644,754530,807232,787853,882849,910601,931751,959491,971390,973984,974685,970699,978719,968777,939072,970999,998006,1018649,1019753,1025722,1018670,1037564,1039451,1039950,1030053,1019801,1063622,1039999,1036799,1035811,1042802,1044812,1051158,1054061,1062624,1065979,1074101,1071220
999821,1004537,1004883,1001031,1006609,1014377,1020118,1030101,1015827,1020487,1024376,1020532,1029173,1027182,1030399,1036919,1040018,1038136,1039344,1034316,1050257,1059189,1040605,1033195,1038265,1043055,1046952,1040562,1037421,1034647,1026720,1022744,1019516,1010971,1006564,1008917,1012597,1017192,1017568,1023797,1028824,1021688,1024863,1025568,1030900,1031294,1038730,1044898,1042006,1048606,1049007,1047352,1047138,1048604,1055527,1072973,1058007,1059135,1052991,1057074,1057758,1063701,1060873,1046420,1039745,1036976,1033506,1033592,1032259,1023086,1024991,1029099,1033597,1037882,1040252,1037268,1036895,1039073,1031717,1030006,1035444,1037854,1042260,1043818,1036029,1035305,1034740,1040726,1038758,1044479,1050749,1057200,1056119,1065284,1054807,1060466,1065193,1071092,1076198,1078819,1079692,1077094,1073156,1074350,1068833,1077494,1071908,1069515,1059557,1053320,1044104,1039252,1038165,1040099,1045082,1044292,1048094,1042607,1050354,1053060,1057456,1065725,1072231,1069301,1069288,1072154,1075731,1075902,1078002,1077925,1081790,1083041,1079016,1078936,1076779,1076599,1076783,1077858,1074273,1072706,1068464,1068706,1066346,1063817,1065673,1057027,1057571,1049746,1046197,1045556,1041161,1047344,1046503,1049133,1052129,1055666,1051667,1049747,1053247,1039268,1031768,1048149,1046554,1054346,1058658,1065336,1078765,1082944,1084047,1086938,1090783,1086895,1086983,1087906,1093420,1091524,1089870,1099205,1098407,1099472,1088351,1087230,1084925,1082811,1079613,1079569,1086639,1094844,1088524,1088309,1098163,1100036,1105297,1110776,1117545,1128949,1133837,1146287,1148440,1142153,1128768,1125844,1138223,1154143














































































































































































































































































"280,""        Other services"",1023356,1025137,1024113,1023233,1022308,1022761,1020290,1019554,1018570,1019299,1017479,1015013,1016027,1013804,1014454,1016351,1011444,1007732,1006501,1007180,1004491,1004967,1004836,1004633,1001395,999528,994347,985915,972724,978806,982042,982708,981766,974115,971636,977554,973656,980686,978610,975785,981564,979351,984694,980687,978122,977975,976507,979482,990830,991835,993731,990986,987766,984773,982970,977378,977144,980591,980341,981673,985263,987822,991052,980207,976022,974307,972078,976872,975055,974855,973031,967262,957011,952429,950180,964056,965255,967929,969566,978116,978755,980352,982601,984049,985118,985906,1006390,993254,997827,1003470,1007422,1015777,1018936,1030836,1030105,1025501,1019942,1018029,1020941,1034320,1036661,1032883,1039122,1037659,1038922,1044827,1041477,1042863,1054367,1062893,1062132,1064631,1062565,1066787,1074205,1076254,1074829,1073930,1074521,1089102,1100214,1102928,1109853,1108007,1115705,1112597,1120777,1117421,1115807,1124097,1126725,1131257,1121414,1123696,1134055,1150376,1153681,1159931,1155427,1155557,1156924,1167421,1172253,1169748,1174746,1175202,1178154,1178710,1174955,1181596,1196905,1203736,1208768,1202061,1213024,1233729,1277724,1237018,1102427,996510,1042436,1087207,1109587,1123259,1127660,1148745,1160630,1167120,1184693,1185571,1208927,1226035,1233184,1257099,1276090,1291820,1284871,1296494,1289117,1289396,1300811,1305697,1314505,1310733,1322601,1329687,1343660,1351694,1356693,1344381,1343902,1345988,1366627,1369719,1370037,1369125,1371943,1372908,1367475,1364835,1370439,1384485,1394865,1398916"
